,State,Population
573,IA,67314
574,KS,67311
575,CA,67265
576,TX,67176
577,MD,67117
578,NJ,67106
579,NY,67047
580,NJ,66876
581,CA,66850
582,FL,66846
583,WI,66816
584,LA,66448
585,IA,66427
586,CA,66348
587,MA,66263
588,MI,66243
589,CA,66224
590,CA,66105
591,NJ,66034
592,MI,65888
593,GA,65818
594,WI,65615
595,CO,65560
596,TX,65534
597,NY,65283
598,MA,65218
599,OH,65211
600,IN,65194
601,TX,65191
602,WY,65132
603,ID,64818
604,AR,64591
605,CA,64355
606,MN,64317
607,CA,64293
608,CA,64292
609,MN,64198
610,NE,64176
611,AR,64134
612,CT,64083
613,IN,63830
614,WA,63612
615,MN,63599
616,FL,63591
617,CT,63518
618,MI,63409
619,OH,63399
620,UT,63380
621,NJ,63361
622,MI,63292
623,MA,63191
624,CA,63097
625,CA,62956
626,IA,62799
627,OK,62793
628,LA,62701
629,CA,62640
630,CA,62623
631,FL,62596
632,TX,62535
633,CO,62418
634,MA,62186
635,CA,62088
636,CA,62007
637,NC,61960
638,OR,61851
639,TN,61753
640,FL,61637
641,MI,61606
642,CT,61512
643,NC,61376
644,CA,61271
645,MA,61217
646,NJ,61176
647,CT,61169
648,CA,61121
649,CA,61096
650,FL,61051
651,FL,61047
652,TX,61032
653,CA,61032
654,CA,61027
655,GA,60972
656,CT,60850
657,CT,60833
658,NJ,60804
659,NJ,60780
660,IL,60675
661,WA,60560
662,UT,60448
663,MT,60442
664,NJ,60419
665,CA,60381
666,WI,60325
667,FL,60191
668,KY,60183
669,OH,60068
670,CA,60037
671,ID,59996
672,OR,59922
673,CA,59776
674,NJ,59728
675,CT,59713
676,IA,59667
677,MA,59659
678,IN,59604
679,NY,59559
680,CA,59520
681,AZ,59519
682,MA,59408
683,TX,59202
684,GA,59194
685,FL,59182
686,NY,59169
687,ND,59166
688,WY,59038
689,FL,58964
690,MI,58874
691,NC,58780
692,FL,58712
693,IL,58703
694,OH,58662
695,NV,58639
696,WA,58608
697,MO,58603
698,NJ,58544
699,CO,58512
700,OK,58409
701,IN,58389
702,IL,58362
703,MD,58329
704,MI,58211
705,AZ,58125
706,PA,58039
707,CA,57990
708,AL,57938
709,OH,57862
710,FL,57833
711,TN,57786
712,MO,57732
713,TX,57526
714,MA,57437
715,KS,57434
716,NC,57303
717,IL,57250
718,AZ,57144
719,CA,57047
720,CA,56999
721,AL,56933
722,IL,56852
723,CA,56681
724,OR,56472
725,MN,56374
726,ID,56320
727,CA,56173
728,NJ,56162
729,TX,56145
730,TX,56039
731,IL,55971
732,FL,55698
733,MI,55670
734,GA,55663
735,WA,55605
736,CT,55584
737,MA,55560
738,TN,55442
739,NJ,55436
740,GA,55378
741,NJ,55266
742,GA,55161
743,UT,55144
744,CA,55072
745,CA,54883
746,FL,54873
747,FL,54842
748,NJ,54838
749,IN,54788
750,MS,54648
751,ID,54628
752,NJ,54586
753,IL,54583
754,CA,54542
755,OR,54539
756,MA,54481
757,NC,54341
758,FL,54312
759,MI,54304
760,AR,54164
761,KS,54100
762,MI,54091
763,IL,53970
764,IN,53923
765,CA,53915
766,CA,53909
767,CA,53898
768,MN,53781
769,CA,53733
770,TX,53695
771,AZ,53658
772,FL,53644
773,NJ,53537
774,WA,53526
775,MN,53494
776,MT,53293
777,CA,53225
778,NE,53131
779,NC,53114
780,NJ,53105
781,FL,53093
782,TN,53070
783,MA,53059
784,CA,53036
785,NJ,52912
786,UT,52778
787,IL,52736
788,MI,52721
789,WI,52680
790,OH,52656
791,CA,52590
792,CA,52558
793,MO,52533
794,IL,52530
795,CT,52355
796,CA,52176
797,WA,52066
798,AZ,51908
799,TX,51898
800,CA,51824
801,VA,51814
802,ID,51807
803,MO,51762
804,GA,51683
805,CA,51493
806,CA,51428
807,NY,51401
808,TN,51324
809,OK,51308
810,CA,51268
811,CA,51185
812,CA,51163
813,OH,51114
814,IN,51063
815,CT,51045
816,UT,51017
817,OH,50987
818,OH,50942
819,HI,50922
820,SC,50915
821,UT,50637
822,TX,50631
823,CT,50558
824,IN,50474
825,IL,50247
826,NC,50193
827,CA,50151
828,PA,50099
829,MN,50010
830,TN,50005
831,CA,50000
832,MO,49999
833,OH,49934
834,WI,49929
835,TX,49928
836,CA,49757
837,NJ,49715
838,OH,49692
839,CA,49578
840,MI,49504
841,MS,49449
842,IN,49447
843,IN,49370
844,OH,49328
845,CA,49302
846,FL,49248
847,FL,49219
848,TX,49148
849,MA,49075
850,MA,48916
851,MI,48891
852,WV,48864
853,NJ,48843
854,CA,48841
855,FL,48789
856,MS,48730
857,IL,48705
858,NJ,48677
859,NY,48671
860,NJ,48594
861,NM,48422
862,OK,48394
863,WI,48387
864,ND,48377
865,VA,48250
866,WA,48161
867,CA,48008
868,NY,47969
869,CA,47949
870,NC,47851
871,NJ,47842
872,MI,47741
873,CT,47717
874,MI,47710
875,LA,47702
876,TX,47641
877,NC,47601
878,OH,47534
879,CA,47529
880,OH,47450
881,TN,47356
882,CA,47325
883,FL,47297
884,FL,47295
885,TX,47251
886,RI,47139
887,AZ,47070
888,CA,47063
889,NJ,47043
890,FL,46964
891,KS,46889
892,WV,46842
893,NJ,46826
894,AZ,46785
895,NM,46624
896,VA,46553
897,OH,46549
898,OH,46491
899,MA,46461
900,TX,46453
901,IN,46410
902,MA,46308
903,FL,46231
904,TX,46073
905,NJ,46030
906,NJ,45977
907,SC,45946
908,TX,45941
909,AZ,45827
910,IL,45786
911,TX,45776
912,UT,45762
913,TX,45697
914,CO,45652
915,IA,45580
916,CA,45532
917,CA,45483
918,FL,45425
919,TN,45373
920,NJ,45345
921,OH,45312
922,AZ,45308
923,HI,45295
924,UT,45285
925,LA,45275
926,NJ,45115
927,OH,44907
928,VA,44826
929,PA,44800
930,FL,44794
931,IL,44762
932,VT,44743
933,WI,44678
934,NJ,44633
935,IN,44595
936,CA,44575
937,TX,44534
938,MN,44505
939,MN,44488
940,MA,44480
941,IL,44476
942,NY,44472
943,CA,44444
944,TN,44431
945,CT,44396
946,CA,44390
947,MO,44372
948,PA,44328
949,CA,44322
950,MI,44253
951,FL,44229
952,MI,44202
953,HI,44186
954,FL,43990
955,NH,43976
956,PA,43963
957,CA,43959
958,MA,43927
959,MI,43916
960,CA,43908
961,NJ,43905
962,MA,43782
963,NJ,43754
964,NJ,43738
965,MN,43698
966,FL,43676
967,TX,43645
968,UT,43623
969,CA,43582
970,MD,43527
971,WA,43505
972,CT,43501
973,NC,43490
974,HI,43485
975,SC,43463
976,OH,43439
977,CA,43357
978,NJ,43276
979,RI,43240
980,MO,43228
981,IL,43212
982,FL,43080
983,MI,43058
984,FL,43021
985,IL,42985
986,TX,42983
987,WA,42973
988,WA,42853
989,VA,42772
990,MA,42670
991,UT,42602
992,VA,42590
993,GA,42549
994,MI,42547
995,IL,42404
996,GA,42296
997,CA,42287
998,GA,42243
999,FL,42219
1000,CT,42141
1001,MA,42119
1002,MN,42088
1003,TX,42002
1004,NJ,41999
1005,MA,41946
1006,CA,41941
1007,MA,41793
1008,TN,41690
1009,MI,41679
1010,CA,41678
1011,IA,41535
1012,NJ,41502
1013,WI,41464
1014,AZ,41348
1015,TN,41333
1016,OH,41302
1017,GA,41296
1018,TX,41275
1019,AR,41253
1020,OH,41252
1021,NJ,41246
1022,NC,41239
1023,FL,41217
1024,TX,41213
