,City,Population
3514,Millstone,10376
3515,Watervliet,10375
3516,Fairview,10372
3517,Cadillac,10371
3518,Shasta Lake,10371
3519,Shelton,10371
3520,Pingree Grove,10365
3521,Winchendon,10364
3522,Weston,10354
3523,Lexington,10348
3524,Versailles,10347
3525,Alexandria,10341
3526,Berthoud,10332
3527,Oneida,10329
3528,Berwick,10327
3529,Carroll,10321
3530,Exeter,10321
3531,Ridgefield,10319
3532,Brewster,10318
3533,North Bend,10317
3534,Southampton,10317
3535,Paris,10316
3536,Yazoo City,10316
3537,Bluffton,10308
3538,Clay,10291
3539,Garden City,10289
3540,London,10279
3541,Tipp City,10274
3542,Kendallville,10271
3543,Fort Madison,10270
3544,New Hyde Park,10257
3545,Newport,10256
3546,Somers,10255
3547,Alpine,10251
3548,Hackettstown,10248
3549,Elkhorn,10247
3550,Standish,10244
3551,Raymondville,10236
3552,Molalla,10228
3553,Winchester,10224
3554,Corte Madera,10222
3555,Hermantown,10221
3556,Cordele,10220
3557,Plymouth,10214
3558,Hobart,10211
3559,Columbia,10207
3560,Flowood,10202
3561,Alpena,10197
3562,Milton,10197
3563,Rainbow City,10191
3564,Cedartown,10190
3565,Astoria,10181
3566,Cairo,10179
3567,Whitestown,10178
3568,Franklin,10176
3569,Paris,10171
3570,Airmont,10166
3571,East Rockaway,10159
3572,La Plata,10159
3573,DuPont,10151
3574,Massena,10151
3575,Grosse Pointe Farms,10148
3576,Port Townsend,10148
3577,Pleasant Hill,10147
3578,Hillsdale,10143
3579,Robstown,10143
3580,Littleton,10141
3581,Waynesville,10140
3582,Wood Ridge,10137
3583,Safford,10129
3584,Snohomish,10126
3585,Canton,10124
3586,Lovejoy,10122
3587,Harrisonville,10121
3588,Lenoir City,10117
3589,San Elizario,10116
3590,Boaz,10107
3591,West Point,10105
3592,Bridgeport,10104
3593,Williston,10103
3594,Baker City,10099
3595,Cambridge,10089
3596,Brentwood,10082
3597,Maywood,10080
3598,New Richmond,10079
3599,Vernal,10079
3600,Vernon,10078
3601,Hull,10072
3602,Kittery,10070
3603,Rockport,10070
3604,Howell,10068
3605,La Grange,10067
3606,Ware,10066
3607,Ogdensburg,10064
3608,Struthers,10063
3609,Waldwick,10058
3610,Warrenton,10057
3611,Clinton,10056
3612,Spanish Fort,10049
3613,Rye Brook,10047
3614,Cody,10028
3615,Lancaster,10027
3616,Calimesa,10026
3617,Sparta,10025
3618,East Rutherford,10022
3619,Cedar Hills,10019
3620,Willoughby Hills,10019
3621,Mayfield,10017
3622,Atoka,10008
3623,Rio Vista,10005
3624,Fairfield,10000
3625,Marysville,9997
3626,St Joseph,9993
3627,Manvel,9992
3628,Highland,9991
3629,Sleepy Hollow,9986
3630,Ellisville,9985
3631,Reedsburg,9984
3632,Uniontown,9984
3633,Mount Holly,9981
3634,Glocester,9974
3635,Cape Canaveral,9972
3636,Kinnelon,9966
3637,Glenwood Springs,9963
3638,Woodbury,9963
3639,East Liverpool,9958
3640,Colts Neck,9957
3641,Wapakoneta,9957
3642,Mission,9954
3643,Plainville,9945
3644,Arden Hills,9939
3645,Capitola,9938
3646,Sauk Village,9921
3647,Muskegon Heights,9917
3648,Makaha,9916
3649,Decatur,9913
3650,River Vale,9909
3651,Waimea,9904
3652,College Place,9902
3653,Keokuk,9900
3654,Peru,9896
3655,Tremonton,9894
3656,Columbia City,9892
3657,Berlin,9890
3658,Fultondale,9876
3659,Washington,9875
3660,Detroit Lakes,9869
3661,Sturbridge,9867
3662,Bristol,9861
3663,DeRidder,9852
3664,Lowell,9839
3665,Jennings,9837
3666,Winfield,9835
3667,Fair Oaks Ranch,9833
3668,Independence,9828
3669,Sweet Home,9828
3670,Conway,9822
3671,Greencastle,9820
3672,Thomaston,9816
3673,Lincoln City,9815
3674,Jesup,9809
3675,Morrisville,9809
3676,Alamosa,9806
3677,Wendell,9793
3678,Vidor,9789
3679,Brownsville,9788
3680,Green Cove Springs,9786
3681,Elgin,9784
3682,Middleton,9779
3683,Heath,9769
3684,Keansburg,9755
3685,Canonsburg,9744
3686,Burlington,9743
3687,Woodbury,9723
3688,Sunbury,9719
3689,Lisbon,9711
3690,Middletown,9706
3691,Flossmoor,9704
3692,Silver City,9704
3693,Hamburg,9696
3694,Hampton,9695
3695,Bastrop,9691
3696,Marathon,9689
3697,Bastrop,9688
3698,Eagle Point,9686
3699,Sedona,9684
3700,New Square,9679
3701,Brewer,9672
3702,East Stroudsburg,9669
3703,Roanoke,9665
3704,North College Hill,9663
3705,Hillsborough,9660
3706,Avon Park,9658
3707,Bluefield,9658
3708,Bladensburg,9657
3709,Coweta,9654
3710,Mount Airy,9654
3711,Orange Cove,9649
3712,Indianola,9646
3713,Sturgeon Bay,9646
3714,Jamestown,9630
3715,Jacinto City,9613
3716,Oil City,9613
3717,Cambridge,9611
3718,Girard,9603
3719,Parsons,9600
3720,Fredonia,9585
3721,Steger,9584
3722,LaSalle,9582
3723,Monett,9576
3724,Oakwood,9572
3725,Tomah,9570
3726,Cusseta,9565
3727,Matawan,9565
3728,Grinnell,9564
3729,Bargersville,9560
3730,Topsham,9560
3731,Morehead City,9556
3732,Bridge City,9546
3733,Pleasant Grove,9544
3734,Itasca,9543
3735,The Village,9538
3736,Cape Elizabeth,9535
3737,Middletown,9533
3738,Diamondhead,9529
3739,Louisville,9521
3740,Burlington,9519
3741,Helena West Helena,9519
3742,Ingleside,9519
3743,Greenwood,9516
3744,Hartland,9501
3745,Amityville,9500
3746,Alma,9488
3747,Madeira,9487
3748,Kaneohe Base,9483
3749,Rolesville,9475
3750,Harvard,9469
3751,Rochelle,9446
3752,Pryor Creek,9444
3753,Pike Road,9439
3754,Mahomet,9434
3755,Newmarket,9430
3756,Southside,9426
3757,Berlin,9425
3758,Middleton,9425
3759,Chesterfield,9422
3760,Eunice,9422
3761,Anaconda Deer Lodge,9421
3762,Fairfield,9416
3763,Mooresville,9411
3764,South Amboy,9411
3765,Middlesborough,9405
3766,Warren,9404
3767,Sheffield,9403
3768,Prospect,9401
3769,Mound,9398
3770,Florence,9396
3771,Tuskegee,9395
3772,Flowery Branch,9391
3773,Manhattan,9385
3774,Portland,9384
3775,Woodway,9383
3776,Clarksville,9381
3777,Lititz,9381
3778,Winchester,9375
3779,Plymouth,9370
3780,Havre,9362
3781,Hyrum,9362
3782,Quakertown,9359
3783,Fairview,9357
3784,Sutton,9357
3785,Merrill,9347
3786,Monroe,9343
3787,Riverdale,9343
3788,Angola,9340
3789,Bridgeport,9336
3790,Laurens,9335
3791,Fallon,9327
3792,Barrington,9326
3793,Mechanicsburg,9311
3794,Bethalto,9310
3795,Sellersburg,9310
3796,Ecorse,9305
3797,Leonia,9304
3798,Charlotte,9299
3799,Riverside,9298
3800,Salem,9298
3801,Denham Springs,9286
3802,Richmond Heights,9286
3803,Washington,9285
3804,Bay St Louis,9284
3805,Shelby,9282
3806,Sugar Grove,9278
3807,Mount Pleasant,9274
3808,Carencro,9272
3809,Washington Terrace,9267
3810,Conshohocken,9261
3811,St Anthony,9257
3812,Augusta,9256
3813,Palm Beach,9245
3814,Rockingham,9243
3815,Shawano,9243
3816,Aliquippa,9238
3817,Salisbury,9236
3818,Willowbrook,9236
3819,Waihee Waiehu,9234
3820,Southwick,9232
3821,Waseca,9229
3822,Oronoko,9226
3823,Putnam,9224
3824,Chatham,9212
3825,Rathdrum,9211
3826,Manteno,9210
3827,Rensselaer,9210
3828,Ventnor City,9210
3829,Blackstone,9208
3830,Freetown,9206
3831,Bedford,9198
3832,Sunset Hills,9198
3833,Des Peres,9193
3834,Thompson,9189
3835,East Grand Forks,9176
3836,Clinton,9174
3837,Grants,9163
3838,Hailey,9161
3839,St Francis,9161
3840,Elsmere,9159
3841,Cresskill,9155
3842,Burlington,9152
3843,Middlebury,9152
3844,Tiburon,9146
3845,Bee Cave,9144
3846,Huntertown,9141
3847,Little Falls,9140
3848,Absecon,9137
3849,Toccoa,9133
3850,Townsend,9127
3851,Booneville,9126
3852,Westampton,9121
3853,Perkasie,9120
3854,Waterford,9120
3855,Harahan,9116
3856,Lynwood,9116
3857,York,9108
3858,Canal Winchester,9107
3859,Chillicothe,9107
3860,Live Oak,9106
3861,Benton Harbor,9103
3862,Economy,9098
3863,Hebron,9098
3864,Weare,9092
3865,Commerce,9090
3866,Orange Park,9089
3867,Hooper,9087
3868,Woodbridge,9087
3869,Harwood Heights,9065
3870,Harrodsburg,9064
3871,Hawthorn Woods,9062
3872,Springfield,9062
3873,Craig,9060
3874,Tuscumbia,9054
3875,Wasilla,9054
3876,Haledon,9052
3877,Rutland,9049
3878,Lake Park,9047
3879,Davenport,9043
3880,Orting,9041
3881,Rice Lake,9040
3882,Delta,9035
3883,Helotes,9030
3884,Caldwell,9027
3885,Lapeer,9023
3886,Indian Harbour Beach,9019
3887,Newark,9017
3888,Fitzgerald,9006
3889,Beaver Falls,9005
3890,Winslow,9005
3891,Hampstead,8998
3892,Cloverdale,8996
3893,McFarland,8991
3894,Yarmouth,8990
3895,Ladue,8989
3896,Pulaski,8985
3897,Douglas,8983
3898,Ivins,8978
3899,Bernalillo,8977
3900,Highland Park,8977
3901,Ahuimanu,8969
3902,Old Orchard Beach,8960
3903,Sheffield Lake,8957
3904,Hope,8952
3905,Saline,8948
3906,Locust Grove,8947
3907,Brownfield,8936
3908,Oakland,8936
3909,Plymouth,8932
3910,Edgewater Park,8930
3911,Oak Grove,8929
3912,Purcellville,8929
3913,North Haledon,8927
3914,Gibsonville,8920
3915,Collingdale,8908
3916,Monmouth,8902
3917,Mansfield,8897
3918,Lago Vista,8896
3919,Brooksville,8890
3920,Park Ridge,8883
3921,Blanchard,8879
3922,St Pete Beach,8879
3923,East Haddam,8875
3924,Maysville,8873
3925,Highland Park,8864
3926,Napoleon,8862
3927,Savoy,8857
3928,Toppenish,8854
3929,Signal Mountain,8852
3930,Seneca,8850
3931,Glencoe,8849
3932,Sanger,8839
3933,Ocean,8835
3934,Carbondale,8828
3935,Coffeyville,8826
3936,Greenville,8816
3937,Boonton,8815
3938,Clayton,8807
3939,Poteau,8807
3940,Andalusia,8805
3941,Tallmadge,8802
3942,Presque Isle,8797
3943,Rock Falls,8789
3944,Pennfield,8781
3945,Fort Valley,8780
3946,Jeannette,8780
3947,Pitman,8780
3948,Bogota,8778
3949,Dayton,8777
3950,Pittsgrove,8777
3951,Pleasant Hill,8777
3952,Hoquiam,8776
3953,Lopatcong,8776
3954,Port Jervis,8775
3955,Clanton,8768
3956,Bath,8766
3957,Cortez,8766
3958,Redding,8765
3959,Wyoming,8756
3960,Mascoutah,8754
3961,Windsor,8754
3962,Thief River Falls,8749
3963,Franklin,8741
3964,Lake Villa,8741
3965,Freeport,8737
3966,Graham,8732
3967,Bryan,8729
3968,Chanute,8722
3969,Highland Heights,8719
3970,Audubon,8707
3971,Socorro,8707
3972,Clarendon Hills,8702
3973,Fort Mitchell,8702
3974,Olney,8701
3975,Milton,8697
3976,Anthony,8693
3977,Wesley Chapel,8681
3978,Tecumseh,8680
3979,Lamesa,8674
3980,Covington,8663
3981,Glenwood,8662
3982,Cheviot,8658
3983,Gonzales,8647
3984,Sandpoint,8639
3985,Carneys Point,8637
3986,Long Hill,8629
3987,Oxford,8628
3988,Wharton,8627
3989,Monona,8624
3990,Swissvale,8624
3991,Hillview,8622
3992,Richland Hills,8621
3993,Skowhegan,8620
3994,Baxter,8612
3995,Haiku Pauwela,8595
3996,Closter,8594
3997,Hastings on Hudson,8590
3998,Park Hills,8587
3999,West Long Branch,8587
4000,Olmsted Falls,8582
4001,Montague,8580
4002,Lewistown,8579
4003,Westwego,8568
4004,Gering,8564
4005,Malverne,8560
4006,Oberlin,8555
4007,Perryville,8555
4008,Guntersville,8553
4009,Center Line,8552
4010,Othello,8549
4011,Independence,8548
4012,Taft,8546
4013,Smithfield,8533
4014,Sutherlin,8524
4015,Clinton,8521
4016,Kennedale,8517
4017,Aberdeen,8516
4018,Cameron,8513
4019,Sallisaw,8510
4020,Delavan,8505
4021,Olivette,8504
4022,Pleasant Hills,8504
4023,McCordsville,8503
4024,York,8503
4025,Old Forge,8497
4026,Corrales,8493
4027,Perryton,8492
4028,Barre,8491
4029,Los Altos Hills,8489
4030,Menominee,8488
4031,Ayer,8479
4032,Litchfield,8478
4033,Ephrata,8477
4034,Cumberland,8473
4035,Georgetown,8470
4036,Farmingdale,8466
4037,Fort Stockton,8466
4038,Crete,8465
4039,Arab,8461
4040,Lancaster,8460
4041,Millis,8460
4042,Sitka,8458
4043,Haddam,8452
4044,Orrville,8452
4045,Brooklyn,8450
4046,Skiatook,8450
4047,Dalhart,8447
4048,Dunn,8446
4049,Monticello,8442
4050,Lancaster,8441
4051,Madison,8439
4052,Beebe,8437
4053,Montvale,8436
4054,Edgewood,8435
4055,Northfield,8434
4056,Winnemucca,8431
4057,Warrenton,8429
4058,Kenilworth,8427
4059,Black Mountain,8426
4060,Conover,8421
4061,Virginia,8421
4062,Jefferson City,8419
4063,Flushing,8411
4064,Elwood,8410
4065,Georgetown,8403
4066,Somers,8402
4067,Seabrook,8401
4068,Ellsworth,8399
4069,Hopkinton,8398
4070,Butner,8397
4071,Pulaski,8397
4072,St Marys,8397
4073,Oak Island,8396
4074,Park City,8396
4075,Atmore,8391
4076,Houghton,8386
4077,Milliken,8386
4078,Clinton,8383
4079,Cohasset,8381
4080,Abingdon,8376
4081,Buxton,8376
4082,Eaton,8375
4083,Newton,8374
4084,Denison,8373
4085,Hampton,8368
4086,Gilberts,8366
4087,Long Grove,8366
4088,Miles City,8354
4089,Senatobia,8354
4090,Kronenwetter,8353
4091,Upper Saddle River,8353
4092,Hollis,8342
4093,Waite Park,8341
4094,Jerseyville,8337
4095,Mount Rainier,8333
4096,Park City,8333
4097,Trinidad,8329
4098,Croton on Hudson,8327
4099,Cushing,8327
4100,Fruitland Park,8325
4101,Mount Joy,8325
4102,Runnemede,8324
4103,Hillside,8320
4104,Orono,8315
4105,Wynne,8314
4106,Hood River,8313
4107,Potsdam,8312
4108,Bellevue,8311
4109,Princeton,8301
4110,Brookhaven,8300
4111,Doylestown,8300
4112,Pukalani,8299
4113,Orland,8298
4114,Altoona,8293
4115,Paris,8291
4116,Hondo,8289
4117,Rhinelander,8285
4118,Mason,8283
4119,Rolling Hills Estates,8280
4120,Liberty,8279
4121,Lake Geneva,8277
4122,Bedminster,8272
4123,Gray,8269
4124,Maplewood,8269
4125,Wytheville,8265
4126,Stuttgart,8264
4127,Hornell,8263
4128,Bel Aire,8262
4129,Minnetrista,8262
4130,Mukwonago,8262
4131,Wilson,8259
4132,Whitehouse,8257
4133,Bellevue,8249
4134,Castle Shannon,8249
4135,Corning,8244
4136,Dormont,8244
4137,Oradell,8244
4138,Stayton,8244
4139,Hatboro,8238
4140,Pewaukee,8238
4141,Brentwood,8233
4142,Bow,8229
4143,Sioux Center,8229
4144,Berkeley,8228
4145,Centerville,8228
4146,Hillsboro,8221
4147,Maryville,8221
4148,Rawlins,8221
4149,Woodstock,8221
4150,Harrisburg,8219
4151,Providence,8218
4152,Price,8216
4153,Westminster,8213
4154,Nevada,8212
4155,Sheboygan Falls,8210
4156,Johnstown,8204
4157,Boxford,8203
4158,Richfield,8201
4159,Ketchikan,8192
4160,Litchfield,8192
4161,Prairie View,8184
4162,Brazil,8181
4163,Franklin,8180
4164,Oak Hill,8179
4165,Union,8174
4166,Milan,8171
4167,Adams,8166
4168,Oak Brook,8163
4169,Spotswood,8163
4170,New Prague,8162
4171,North Bay Village,8159
4172,Oak Grove,8157
4173,Iowa Colony,8154
4174,Selah,8153
4175,Alliance,8151
4176,Monson,8150
4177,Templeton,8149
4178,Carl Junction,8143
4179,Lansing,8143
4180,Kirby,8142
4181,St Francis,8142
4182,Mahtomedi,8138
4183,Carnegie,8134
4184,Roxboro,8134
4185,Camp Hill,8130
4186,Cuero,8128
4187,Payette,8127
4188,Hardyston,8125
4189,Scott,8119
4190,Los Fresnos,8114
4191,Lock Haven,8108
4192,Bay Minette,8107
4193,Dighton,8101
4194,Antigo,8100
4195,Firebaugh,8096
4196,Orange Beach,8095
4197,Moundsville,8093
4198,Grand Blanc,8091
4199,Lochbuie,8088
4200,Grandview Heights,8085
4201,Springfield,8075
4202,Montpelier,8074
4203,Pismo Beach,8072
4204,Plumsted,8072
4205,York,8066
4206,Latrobe,8060
4207,Vinton,8059
4208,Guadalupe,8057
4209,Island Lake,8051
4210,Butler,8047
4211,Gypsum,8040
4212,Livingston,8040
4213,Hillsdale,8036
4214,Duvall,8034
4215,Wyoming,8032
4216,Westlake Village,8029
4217,Byram,8028
4218,Sequim,8024
4219,Richmond,8020
4220,Scappoose,8010
4221,Wahpeton,8007
4222,Newport,8005
4223,Lihue,8004
4224,Riverside,8003
4225,Silvis,8003
4226,Upton,8000
4227,Broadview,7998
4228,Charlestown,7997
4229,Winooski,7997
4230,South Beloit,7989
4231,Fletcher,7987
4232,Sterling,7985
4233,Three Rivers,7973
4234,Quincy,7970
4235,South Boston,7966
4236,Boonville,7964
4237,North Hanover,7963
4238,Port Jefferson,7962
4239,Seaford,7957
4240,Lexington,7956
4241,Fort Lupton,7955
4242,Spring Hill,7952
4243,Berwick,7950
4244,Winslow,7948
4245,Kenton,7947
4246,Aransas Pass,7941
4247,Lincolnshire,7940
4248,Waterboro,7936
4249,Woodfin,7936
4250,Oak Grove,7931
4251,Dexter,7927
4252,Barre,7923
4253,Jersey Village,7921
4254,Woodland Park,7920
4255,Ashland,7908
4256,Millersville,7903
4257,Baldwinsville,7898
4258,Albertville,7896
4259,Bernardsville,7893
4260,Sunnyvale,7893
4261,Downingtown,7892
4262,Joshua,7891
4263,Park City,7885
4264,Collinsville,7881
4265,West Boylston,7877
4266,Humboldt,7874
4267,Fairfield,7872
4268,Grove City,7871
4269,South Weber,7867
4270,Ripon,7863
4271,Rockton,7863
4272,Corbin,7856
4273,St Joseph,7856
4274,Campbell,7852
4275,Bradford,7849
4276,Bonner Springs,7837
4277,Monahans,7836
4278,Perry,7836
4279,Raritan,7835
4280,Plain City,7833
4281,Princeton,7832
4282,Palmyra,7830
4283,Plaistow,7830
4284,Ewa Villages,7825
4285,Webster City,7825
4286,Ponchatoula,7822
4287,Yreka,7807
4288,Glen Ridge,7802
4289,Ripley,7800
4290,Jefferson,7793
4291,Blair,7790
4292,Camden,7788
4293,Travelers Rest,7788
4294,Grand Ledge,7784
4295,Shorewood,7783
4296,Colonie,7781
4297,Mansfield,7781
4298,Bloomingdale,7777
4299,Charlestown,7775
4300,Fanwood,7774
4301,Brunswick,7762
4302,Mount Horeb,7754
4303,Pikeville,7754
4304,Whitefish,7751
4305,Halifax,7749
4306,Brevard,7744
4307,Big Rapids,7727
4308,Hales Corners,7720
4309,Marion,7717
4310,Shelburne,7717
4311,Brigantine,7716
4312,Wellington,7715
4313,Austell,7713
4314,Chester,7713
4315,Fairlawn,7710
4316,Hampden,7709
4317,Lake Dallas,7708
4318,West Bridgewater,7707
4319,Stanwood,7705
4320,Siler City,7702
4321,Albion,7700
4322,Canfield,7699
4323,Gilford,7699
4324,St Johns,7698
4325,Farr West,7691
4326,Providence Village,7691
4327,Clear Lake,7687
4328,Lamar,7687
4329,West Dundee,7686
4330,Severance,7683
4331,Round Lake Park,7680
4332,Ruidoso,7679
4333,Stratham,7669
4334,Hampshire,7667
4335,Buena Vista,7664
4336,Tyrone,7658
4337,Kill Devil Hills,7656
4338,Ludington,7655
4339,Mont Belvieu,7654
4340,Emmett,7647
4341,Ilion,7646
4342,River Oaks,7646
4343,Upper Deerfield,7645
4344,Navasota,7643
4345,Seward,7643
4346,Ellwood City,7642
4347,Dunellen,7637
4348,Ojai,7637
4349,Hubbard,7636
4350,Clinton,7633
4351,White Oak,7630
4352,Hudsonville,7629
4353,Old Lyme,7628
4354,New Albany,7626
4355,Wagoner,7621
4356,Inverness,7616
4357,Lucas,7612
4358,Southwest Ranches,7607
4359,Easton,7605
4360,Fairfax,7605
4361,Knoxville,7595
4362,Farmington,7592
4363,Pittston,7591
4364,Williston Park,7591
4365,Decorah,7587
4366,Cotati,7584
4367,Farmington,7584
4368,Independence,7584
4369,Hickam Housing,7581
4370,Geneseo,7574
4371,Middlebury,7574
4372,London,7572
4373,Briarcliff Manor,7569
4374,Orange,7569
4375,Marengo,7568
4376,Wauseon,7568
4377,Ashland,7565
4378,Hamilton,7561
4379,Mount Sterling,7558
4380,Santa Clara,7553
4381,Fort Scott,7552
4382,Lander,7546
4383,Inverness,7543
4384,Quincy,7543
4385,Dahlonega,7537
4386,Creston,7536
4387,Batesville,7523
4388,Sebastopol,7521
4389,Iron Mountain,7518
4390,Hastings,7514
4391,Breaux Bridge,7513
4392,Pleasantville,7513
4393,Williamstown,7513
4394,Eagle,7511
4395,DuBois,7510
4396,Waikele,7509
4397,New Cumberland,7507
4398,Tell City,7506
4399,Longboat Key,7505
4400,Auburn,7495
4401,Haddon Heights,7495
4402,Berlin,7489
4403,Thompsons Station,7485
4404,Crookston,7482
4405,Great Neck Plaza,7482
4406,Hughson,7481
4407,Dunbar,7480
4408,Oak Ridge,7474
4409,Wickenburg,7474
4410,Farmville,7473
4411,Hardeeville,7473
4412,Escalon,7472
4413,Cleveland,7471
4414,South Berwick,7467
4415,North Bend,7461
4416,Clayton,7460
4417,Marshfield,7458
4418,Vandalia,7458
4419,Madras,7456
4420,Brighton,7446
4421,Hartsville,7446
4422,McCook,7446
4423,Thomaston,7442
4424,Catoosa,7440
4425,Page,7440
4426,Chehalis,7439
4427,Palmyra,7438
4428,Old Town,7431
4429,Shirley,7431
4430,La Follette,7430
4431,Hudson Falls,7427
4432,North Riverside,7426
4433,Swainsboro,7425
4434,Kenai,7424
4435,Bloomfield,7421
4436,Gridley,7421
4437,Arcadia,7420
4438,Woodlake,7419
4439,Union,7416
4440,Pacific,7414
4441,Tuttle,7413
4442,Piedmont,7402
4443,Trumann,7399
4444,Caribou,7396
4445,Charles City,7396
4446,Belle Plaine,7395
4447,Commerce,7387
4448,Forest City,7377
4449,Cedarhurst,7374
4450,Enoch,7374
4451,Greenville,7374
4452,Pocahontas,7371
4453,Bondurant,7365
4454,St Johnsbury,7364
4455,Umatilla,7363
4456,Belen,7360
4457,Alamo Heights,7357
4458,Washington,7352
4459,Riverdale Park,7351
4460,New London,7348
4461,Northport,7347
4462,Scottsburg,7345
4463,Rumson,7343
4464,Newberry,7342
4465,Valley Center,7340
4466,Nibley,7328
4467,Clewiston,7327
4468,Pelham,7326
4469,Flatwoods,7325
4470,Pearsall,7325
4471,New Paltz,7324
4472,La Junta,7322
4473,Kimberly,7320
4474,Lexington,7320
4475,Cumming,7318
4476,Bellbrook,7317
4477,Belmont,7314
4478,Villa Hills,7310
4479,Macclenny,7304
4480,Cottage Grove,7303
4481,Hitchcock,7301
4482,Washington,7299
4483,Archbald,7297
4484,Makawao,7297
4485,Logan,7296
4486,Lampasas,7291
4487,Emerson,7290
4488,East Hills,7284
4489,Salem,7282
4490,Green Brook,7281
4491,Dade City,7275
4492,West Frankfort,7275
4493,Upper Freehold,7273
4494,Scotia,7272
4495,Swanzey,7270
4496,Sausalito,7269
4497,Nyack,7265
4498,Dayton,7262
4499,Walled Lake,7250
4500,Globe,7249
4501,Wharton,7241
4502,Rayne,7236
4503,Pacific,7235
4504,Herkimer,7234
4505,Taneytown,7234
4506,West Miami,7233
4507,Montevallo,7229
4508,River Rouge,7224
4509,Glenolden,7223
4510,Laurel,7222
4511,Nebraska City,7222
4512,Sandwich,7221
4513,Wetumpka,7220
4514,Aurora,7219
4515,Neptune Beach,7217
4516,Tolleson,7216
4517,Pinson,7215
4518,Savannah,7213
4519,Waveland,7210
4520,Pembroke,7207
4521,Keyport,7204
4522,Floresville,7203
4523,Batesville,7202
4524,King,7197
4525,Devils Lake,7192
4526,Mammoth Lakes,7191
4527,Souderton,7191
4528,Atherton,7188
4529,Spring Lake Park,7188
4530,Ridley Park,7186
4531,Bremen,7185
4532,Delafield,7185
4533,Jackson,7185
4534,Hiawatha,7183
4535,Winfield,7181
4536,Stow,7174
4537,Monticello,7173
4538,Great Barrington,7172
4539,Lake Hallie,7170
4540,Gonzales,7165
4541,Russellville,7164
4542,Demopolis,7162
4543,Clarkston,7161
4544,Fircrest,7156
4545,Canton,7155
4546,Durham,7152
4547,Oscoda,7152
4548,Milton Freewater,7151
4549,Morehead,7151
4550,Robinson,7150
4551,Seminole,7146
4552,University Park,7145
4553,Lebanon,7142
4554,Windsor,7140
4555,Richland,7137
4556,Georgetown,7134
4557,Mentor on the Lake,7131
4558,Epping,7125
4559,Philadelphia,7118
4560,Delphos,7117
4561,Parkville,7117
4562,Seaside,7115
4563,Winters,7115
4564,Kosciusko,7114
4565,Stickney,7110
4566,Islamorada,7107
4567,Gettysburg,7106
4568,Cortland,7105
4569,Brockport,7104
4570,Waikoloa Village,7104
4571,Crete,7099
4572,Murphysboro,7093
4573,Atkinson,7087
4574,Tuckahoe,7084
4575,Augusta,7083
4576,Greenville,7083
4577,Strasburg,7083
4578,Mills River,7078
4579,Barrington,7075
4580,Fayetteville,7068
4581,Dayton,7065
4582,Mendota,7061
4583,Youngtown,7056
4584,Norwich,7051
4585,Prairie Grove,7045
4586,Hamilton,7042
4587,Napili Honokowai,7042
4588,Marble Falls,7037
4589,Milltown,7037
4590,Harrisville,7036
4591,Buena Vista,7033
4592,Belle Isle,7032
4593,Connellsville,7031
4594,St Joseph,7029
4595,Frostburg,7027
4596,Calumet Park,7025
4597,Bennettsville,7020
4598,Mountainside,7020
4599,Sturgis,7020
4600,Mount Carmel,7015
4601,Lincoln,7014
4602,Midland Park,7014
4603,St Louis,7010
4604,Trinity,7006
4605,Aspen,7004
4606,Clinton,7004
4607,Church Hill,6998
4608,Mount Healthy,6996
4609,Morrilton,6992
4610,Rockport,6992
4611,Lacy Lakeview,6988
4612,Seminole,6988
4613,St Albans,6988
4614,Noble,6985
4615,Fort Bragg,6983
4616,Stratford,6981
4617,Osceola,6976
4618,Ambridge,6972
4619,Linwood,6971
4620,Lanett,6970
4621,Heber Springs,6969
4622,Holly Springs,6968
4623,Hurricane,6961
4624,Idabel,6961
4625,Grove,6956
4626,Manorhaven,6956
4627,Nappanee,6949
4628,Kula,6942
4629,Shamokin,6942
4630,Belfast,6938
4631,Oneonta,6938
4632,Kirtland,6937
4633,Rockland,6936
4634,Silsbee,6935
4635,Elkins,6934
4636,Fox Point,6934
4637,Nevada,6925
4638,Huron,6922
4639,Sturtevant,6919
4640,Tamaqua,6916
4641,Sullivan,6906
4642,Bonne Terre,6903
4643,Zebulon,6903
4644,Greenbrier,6898
4645,Perry,6898
4646,Basehor,6896
4647,Mexia,6893
4648,Orland Hills,6893
4649,LaFayette,6888
4650,Valley Park,6885
4651,Jasper,6884
4652,Dacula,6882
4653,St Albans,6877
4654,Monessen,6876
4655,Taylor Mill,6873
4656,Roeland Park,6871
4657,Newport,6868
4658,Clifton Heights,6863
4659,Millsboro,6863
4660,Union,6859
4661,Harvard,6851
4662,Kasson,6851
4663,Allendale,6848
4664,Litchfield Park,6847
4665,Lincoln,6845
4666,Ocean City,6844
4667,Sealy,6839
4668,Medina,6837
4669,Loomis,6836
4670,Huntingdon,6827
4671,Marshall,6822
4672,Walden,6818
4673,La Feria,6817
4674,Chester,6814
4675,Thomson,6814
4676,Lawrence,6809
4677,Ambler,6807
4678,Isanti,6804
4679,St Augustine Beach,6803
4680,Kaufman,6797
4681,Pepper Pike,6796
4682,Atlantic,6792
4683,Folcroft,6792
4684,Junction City,6787
4685,Tabernacle,6776
4686,Normandy Park,6771
4687,Opp,6771
4688,Westbrook,6769
4689,Berkley,6764
4690,Oakmont,6758
4691,Groveland,6752
4692,Satsuma,6749
4693,Bayville,6748
4694,Roosevelt,6747
4695,Brookings,6744
