,City,Population
415,Westland,85420
416,Cicero,85268
417,Newport Beach,85239
418,Lake Charles,84872
419,Melbourne,84678
420,San Ramon,84605
421,Redwood City,84292
422,Springdale,84161
423,Buena Park,84034
424,Farmington Hills,83986
425,Bryan,83980
426,Kennewick,83921
427,Baytown,83701
428,Manteca,83498
429,Franklin,83454
430,Cranston,82934
431,Miami Beach,82890
432,Alhambra,82868
433,Warwick,82823
434,Lakewood,82496
435,Largo,82485
436,Johns Creek,82453
437,Mountain View,82376
438,Temple,82073
439,Layton,81773
440,Longview,81638
441,Flint,81252
442,Parma,81146
443,Somerville,81045
444,Plymouth,81026
445,Homestead,80737
446,Folsom,80454
447,Gastonia,80411
448,Boynton Beach,80380
449,Warner Robins,80308
450,Tustin,80276
451,Milpitas,80273
452,Pleasanton,79871
453,New Rochelle,79726
454,Pharr,79715
455,Shelby,79408
456,Rancho Cordova,79332
457,Napa,79246
458,Kissimmee,79226
459,Bellflower,79190
460,Bloomington,79168
461,Upland,79040
462,Lynchburg,79009
463,Schaumburg,78723
464,Perris,78700
465,Bloomington,78680
466,Jonesboro,78576
467,Chino Hills,78411
468,Alameda,78280
469,Frederick,78171
470,Evanston,78110
471,Hammond,77879
472,Racine,77816
473,Arlington Heights,77676
474,Cedar Park,77595
475,South Jordan,77487
476,Pasco,77108
477,Flagstaff,76831
478,Southfield,76618
479,Wyoming,76501
480,Pittsburg,76416
481,Loveland,76378
482,Scranton,76328
483,Rochester Hills,76300
484,Auburn,76143
485,Flower Mound,75956
486,Lehi,75907
487,Doral,75874
488,Apple Valley,75791
489,Bethlehem,75781
490,Appleton,75644
491,Pawtucket,75604
492,Woodbury,75102
493,Iowa City,74828
494,North Port,74793
495,Rapid City,74703
496,Cherry Hill,74553
497,Lauderhill,74482
498,Rock Hill,74372
499,Missouri City,74259
500,New Britain,74135
501,Broomfield,74112
502,Bolingbrook,73922
503,Mount Vernon,73893
504,Bismarck,73622
505,Brick,73620
506,Kalamazoo,73598
507,Missoula,73489
508,Redmond,73256
509,Redlands,73168
510,Castle Rock,73158
511,Gulfport,72926
512,Turlock,72740
513,Jacksonville,72723
514,Daytona Beach,72647
515,Mansfield,72602
516,Dublin,72589
517,St Joseph,72473
518,Framingham,72362
519,Bowling Green,72294
520,Baldwin Park,72176
521,Tamarac,71897
522,Harlingen,71829
523,Camden,71791
524,Bayonne,71686
525,Rocklin,71601
526,Redondo Beach,71576
527,Waukesha,71158
528,Dothan,71072
529,Johnson City,71046
530,Wilmington,70898
531,Canton,70872
532,Lafayette,70783
533,Camarillo,70741
534,Greenville,70720
535,Marysville,70714
536,Waterford,70565
537,Passaic,70537
538,Decatur,70522
539,St Charles,70493
540,Lake Elsinore,70265
541,Maple Grove,70253
542,Blaine,70222
543,Union City,70143
544,Walnut Creek,70127
545,Yuba City,70117
546,North Richland Hills,69917
547,Rogers,69908
548,Eastvale,69757
549,Gaithersburg,69657
550,Albany,69647
551,East Orange,69612
552,Noblesville,69604
553,Lakeville,69490
554,Eau Claire,69421
555,Gary,69093
556,St Cloud,68881
557,Tulare,68875
558,Eagan,68855
559,West Des Moines,68723
560,Union City,68589
561,Palo Alto,68572
562,Portland,68408
563,Franklin,68364
564,Yorba Linda,68336
565,Jackson,68205
566,Weston,68107
567,Palatine,67908
568,Ankeny,67887
569,Skokie,67824
570,Haverhill,67787
571,San Marcos,67553
572,Sammamish,67455
573,Waterloo,67314
574,Shawnee,67311
575,Lynwood,67265
576,Georgetown,67176
577,Rockville,67117
578,Middletown,67106
579,Schenectady,67047
580,Old Bridge,66876
581,Davis,66850
582,Delray Beach,66846
583,Oshkosh,66816
584,Kenner,66448
585,Ames,66427
586,Lodi,66348
587,Malden,66263
588,Novi,66243
589,Madera,66224
590,South San Francisco,66105
591,Gloucester,66034
592,West Bloomfield,65888
593,Alpharetta,65818
594,Janesville,65615
595,Grand Junction,65560
596,Victoria,65534
597,Utica,65283
598,Waltham,65218
599,Lorain,65211
600,Muncie,65194
601,Pflugerville,65191
602,Cheyenne,65132
603,Idaho Falls,64818
604,North Little Rock,64591
605,Laguna Niguel,64355
606,Burnsville,64317
607,San Clemente,64293
608,Brentwood,64292
609,Eden Prairie,64198
610,Bellevue,64176
611,Conway,64134
612,West Hartford,64083
613,Greenwood,63830
614,Lakewood,63612
615,Coon Rapids,63599
616,Ocala,63591
617,Greenwich,63518
618,Taylor,63409
619,Hamilton,63399
620,Millcreek,63380
621,North Bergen,63361
622,Dearborn Heights,63292
623,Brookline,63191
624,La Habra,63097
625,Santa Cruz,62956
626,Council Bluffs,62799
627,Moore,62793
628,Bossier City,62701
629,Montebello,62640
630,Porterville,62623
631,Port Orange,62596
632,Rowlett,62535
633,Commerce City,62418
634,Revere,62186
635,Pico Rivera,62088
636,Encinitas,62007
637,Chapel Hill,61960
638,Springfield,61851
639,Hendersonville,61753
640,Wellington,61637
641,Pontiac,61606
642,Fairfield,61512
643,Huntersville,61376
644,San Rafael,61271
645,Plymouth,61217
646,Irvington,61176
647,Hamden,61169
648,La Mesa,61121
649,Monterey Park,61096
650,Sanford,61051
651,Jupiter,61047
652,Euless,61032
653,Woodland,61032
654,Gardena,61027
655,Marietta,60972
656,Meriden,60850
